ID,Area,City,Restaurant,Demand,Price,Avg ratings,Total ratings,Food type,Address,Delivery time,Delivery Status
297562,Purasaiwakkam,Chennai,Slay Coffee,Low,200,3.8,20,"Beverages,Desserts",Purasaiwakkam,49,Delayed
297563,Abids,Hyderabad,Slay Coffee,Low,200,4.1,100,Beverages  Desserts,Abids,40,In Time
297567,Andheri East,Mumbai,Cafe Marol,High,200,3.8,1000,Indian  Chinese  Tandoor,Marol Sakinaka,54,Delayed
297636,Shahpur,Ahmedabad,Marvel Kitchen,Low,200,2.9,80,Indian,Laldarwaja,53,Delayed
297644,University Area,Ahmedabad,Noodle Co.(Navrangpura),Low,200,2.9,80,Indian,Navrangpura,49,Delayed
297648,Indiranagar,Bangalore,Isareli Falafel Kitchen,Low,400,2.9,80,"Mediterranean,Lebanese,Arabian",Indiranagar,61,Delayed
297652,Indiranagar,Bangalore,Aalis Rolls N Kebabs,Low,400,2.9,80,"Turkish,Arabian",Indiranagar,55,Delayed
297655,Indiranagar,Bangalore,Pizza Factory,Low,400,2.9,80,Pizzas,Indiranagar,66,Delayed
297861,Nacharam,Hyderabad,Tasty Dragon - Chinese Kitchen,Low,200,4.2,100,Chinese,Uppal,66,Delayed
297960,Mohammed Wadi,Pune,Circle Of Crust,High,200,4.2,500,"Pizzas,Beverages,Combo,Snacks",Wanowrie,69,Delayed
297997,Sheshadripuram,Bangalore,La-Casa,Low,150,2.9,80,"Desserts,Ice Cream,Beverages",Nehru Nagarsheshadripuram,49,Delayed
298317,Gopalapuram,Chennai,Schezwan Wok,High,300,4,500,"Chinese,Beverages",Royapettah,58,Delayed
298322,Kothrud,Pune,The Bombay Paratha Company,Low,200,4.1,50,"North Indian,Indian,Punjabi,Desserts,Beverages,Combo",Kothrud The Bombay Paratha Company,67,Delayed
298342,Entally,Kolkata,H R Restaurant,Low,300,3.8,20,"Biryani,Chinese,Indian",Entally,50,Delayed
298393,Raja Bazar,Kolkata,Delisha Biryani House,Low,200,3.5,20,Biryani,Opposite Hind Mahal,42,In Time
298400,Raja Bazar,Kolkata,Lazeez  Fast  Food  Centre,Low,200,2.9,80,"Fast Food,Chinese",Opposite Hind Mahal,45,Delayed
298553,Shankarapura,Bangalore,Uttara Karnataka Jolad Rotti & Chapathi Store,Low,200,4,100,South Indian,Basavanagudi,50,Delayed
298606,Koramangala,Bangalore,Drunken Monkey,Low,300,2.9,80,"Healthy Food,Beverages,Juices",Koramangala,58,Delayed
298633,Santacruz East,Mumbai,Hare Krishna,Low,250,4.4,100,Indian,Kalina Santacruz (E),33,In Time
298655,Shivajinagar,Pune,Haka,Low,500,4.5,100,"Chinese,Asian,Seafood",Pyramid Mall,52,Delayed
298694,Camp,Pune,Ibaco,Low,800,2.9,80,"Ice Cream,Desserts",Camp,35,In Time
299150,26,Chennai,Malabar Point,Low,450,4.2,100,"Biryani,Kerala,South Indian,Thalis",Alwarpet (Malabar Point),58,Delayed
299226,Powai,Mumbai,Pratik Restaurant,Low,250,4.5,20,Indian  Chinese  Tandoor  Punjabi,Powai,54,Delayed
299311,Jamalia,Chennai,Waffle Dreams,Low,200,2.9,80,"Beverages,Desserts,Snacks",Perambur,52,Delayed
299312,Rohini,Delhi,Meals And Bowls,Low,300,4,20,"North Indian,Punjabi,Mughlai,Home Food",Rohini,36,In Time
299369,Sec-9 Rohini,Delhi,Home Factory,Low,200,2.9,80,"North Indian,Continental,Chinese",Rohini,50,Delayed
299435,Perambur,Chennai,Arabian Express,Low,300,4.4,20,"Indian,Arabian",Perambur,65,Delayed
299501,Machuabazar,Kolkata,Vanakkam,Low,300,4.4,50,"South Indian,Ice Cream",Maniktala,49,Delayed
299656,Bidhannagar,Kolkata,Hatari,High,500,4.5,500,"Chinese,Indian",Salt Lake,73,Delayed
299680,Kothrud,Pune,Box.72,Low,200,2.9,80,"Fast Food,Chinese,Indian",Kothrud,49,Delayed
299750,Alwarpet,Chennai,Dakshin At Crowne Plaza Chennai,Low,300,4.5,20,"North Indian,Indian,Salads,Biryani,Chinese,Juices,Desserts",Austin Nagar,69,Delayed
299751,Alwarpet,Chennai,Cappuccino At Crowne Plaza Chennai,Low,300,4.5,20,"North Indian,Indian,Salads,Biryani,Chinese,Juices,Desserts",Austin Nagar,77,Delayed
299869,Koregaon Park,Pune,Foodiedoo,Low,500,2.9,80,Punjabi,Kalyani Nagar,59,Delayed
299951,Taltala,Kolkata,New Noodle King,Low,300,4,100,"Chinese,Seafood",Esplanade,53,Delayed
300026,Koti,Hyderabad,Kolhapuri Thaska,Low,100,3.9,20,"Indian,Fast Food",Jambagh,42,In Time
300360,Kiran Nagar,Hyderabad,Barbeque Nation,Low,600,3.4,100,"North Indian,Chinese,Biryani",Kothapet,60,Delayed
300371,Memnagar,Ahmedabad,Barbeque Nation,Low,600,3.9,100,"North Indian,Mughlai,Seafood,Biryani,Desserts,Kebabs",Satya One,40,In Time
300372,Athwa,Surat,Barbeque Nation,Low,600,3.9,100,"North Indian,Mughlai,Seafood,Biryani,Desserts,Kebabs",Parle Point,51,Delayed
300474,Bidhannagar,Kolkata,Bijoli Grill,Low,800,4.3,100,Chinese,Salt Lake,58,Delayed
300608,Bhowanipore,Kolkata,Dakshin Bhog,Low,450,4.4,100,South Indian,Central Kolkata,58,Delayed
300609,Vasanth Nagar,Bangalore,Chungs Chinese Corner - Cunningham Road,Low,450,4.2,100,"Chinese,Snacks",Cunningham Road,36,In Time
300791,Bidhannagar,Kolkata,Bangalier Rannaghor,High,200,3.8,500,Bengali,Near Iam School  Saltlake Sector V,72,Delayed
300792,Ballygunge,Kolkata,Forever Foods,Low,200,2.9,80,"Chinese,Thalis,Pizzas",Central Kolkata,64,Delayed
301010,Bidhannagar,Kolkata,Kolkata@99,High,200,3.8,5000,Indian,Salt Lake,73,Delayed
301056,Neelasandra,Bangalore,Kabab Magic Roll,Low,400,2.9,80,Snacks,Central Bangalore,54,Delayed
301073,Kilpauk,Chennai,Rolls On Wheels,Low,200,2.9,80,"Ice Cream,Beverages,Fast Food",Kilpauk,51,Delayed
301104,Tagore Garden Extension,Delhi,Andhra Kodi Pulao,Low,350,4.3,20,"Biryani,North Indian,Kebabs",Rajouri Garden,67,Delayed
301126,Andheri East,Mumbai,Foodpost,Low,300,4.1,100,"Chinese,Indian",Andheri East,46,Delayed
301181,Ranip,Ahmedabad,Pvr Cafe,Low,300,2.9,80,"Snacks,Fast Food,American",Pvr Arved Ahmedabad,57,Delayed
301288,Indiranagar,Bangalore,Gourmet Glocal - Sandwiches & Salads,Low,500,2.9,80,"Continental,Beverages",Indiranagar,61,Delayed
301549,Santacruz East,Mumbai,The Momo Co.,Low,250,4.2,100,"Asian,Tibetan,Chinese,Fast Food,Snacks,Desserts",Kurla,30,In Time
301768,Thousand Lights,Chennai,Sri Krishna Mess,Low,200,3.7,100,"South Indian,Chinese",Nungambakkam,40,In Time
301890,Koramangala,Bangalore,Lavender Bakery By Fresh Pressery,Low,250,4.3,100,"Bakery,American,Beverages,Pastas,Desserts",Koramangala,66,Delayed
302256,Ashok Nagar,Bangalore,Bo Tai,Low,600,2.9,80,"Chinese,Pan-Asian,Thai,Oriental",Shanthala Nagar,36,In Time
302275,Sampangi Rama Nagar,Bangalore,The Coconut Tales!,Low,350,2.9,80,"Biryani,Indian,Thalis,Combo,South Indian",Central Bangalore,45,Delayed
302329,Shivajinagar,Pune,Cakeshahi,Low,200,2.9,80,Bakery,Shivaji Nagar,37,In Time
302395,Adajan,Surat,Grenee Adajan,Low,250,4.3,100,Indian,Adajan,46,Delayed
302536,Bidhannagar,Kolkata,Five Mad Men,Low,1000,4.2,20,"Italian,Continental,Chinese",Sector V Salt Lake,75,Delayed
302572,Chetpet,Chennai,Armaani Biryani,Low,250,3.6,50,"Biryani,Arabian,Chinese",Mogappair,57,Delayed
302687,Rohini,Delhi,Barbeque Nation,Low,600,3.5,100,"North Indian,Mughlai,Seafood,Biryani,Desserts,Kebabs",Unity One Mall 6Th Floor,44,In Time
302699,Domlur,Bangalore,Barbeque Nation,Low,600,3.8,50,"North Indian,Mughlai,Seafood,Biryani,Desserts,Kebabs",Mg Road Lido Mall,50,Delayed
302947,Ameerpet,Hyderabad,Chai Kings,High,150,4.5,1000,Fast Food  Combo  Desserts  Beverages,Ameerpet,62,Delayed
303130,Nampally,Hyderabad,Hotel Shezan - Exhibition Ground,Low,200,4.4,100,"Indian,Biryani,Chinese",Gandhi Bhavan Exhibithion Ground,29,In Time
303210,University Area,Ahmedabad,Uncle Momo,Low,200,2.9,80,Fast Food,Navrangpura,45,Delayed
303283,Richmond Town,Bangalore,Parijata Pure Veg,Low,200,4.2,20,South Indian,Central Bangalore,33,In Time
303357,Santacruz East,Mumbai,Deliciae By Bunty Mahajan,High,1200,4.6,1000,"Bakery,Desserts",Bandra_Premium,51,Delayed
303548,Koramangala,Bangalore,Ajji Ruchi Kitchen,Low,300,4.1,100,Indian,Koramangala,57,Delayed
303558,Chembur,Mumbai,Kailash Canteen,Low,180,4.3,50,"Indian,Chinese,South Indian",Chembur,47,Delayed
303592,University Area,Ahmedabad,China In Box,Low,200,2.9,80,"Indian,Fast Food,Chinese",Maninagar,49,Delayed
303640,Indiranagar,Bangalore,Sarposh Restaurant And Tea Room,Low,1200,4.2,20,"North Indian,Kashmiri",Indiranagar,66,Delayed
303654,Elgin,Kolkata,Belgian Waffle Junction,Low,300,2.9,80,"Ice Cream,Beverages,Snacks",Camac Street,57,Delayed
303680,Bidhannagar,Kolkata,Jahangir'S Kitchen,Low,250,4.2,100,Indian,Sector V Salt Lake,73,Delayed
